class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
0,167,170,163,160,125,54,176,174,121,120
1,178,173,158,163,163,180,143,70,176,111
2,34,33,171,175,157,174,122,65,95,122
3,169,172,177,165,173,168,136,72,156,117
4,172,173,151,149,164,146,63,140,114,163
5,166,169,163,162,166,175,81,138,121,166
6,176,169,171,169,165,177,143,61,163,104
7,179,170,162,162,163,176,134,66,171,107
8,174,165,166,162,177,175,62,146,112,162
9,31,31,165,169,155,176,129,58,150,118
10,1,5,159,161,148,169,77,132,132,144
11,159,154,162,155,174,180,139,48,152,118
12,147,154,160,154,177,175,53,139,102,161
13,170,172,175,175,142,171,137,69,172,109
14,152,147,164,161,155,165,148,71,167,115
15,170,166,171,171,165,139,75,137,117,160
16,179,2,168,117,167,156,118,80,114,108
17,25,41,148,146,166,157,72,127,107,151
18,5,170,176,156,177,143,68,126,104,143
19,169,164,171,165,163,159,55,141,112,158
20,152,153,159,170,176,149,74,135,117,173
21,172,177,174,177,160,157,170,109,93,122
22,176,178,164,159,173,145,103,159,118,75
23,158,155,158,156,167,174,140,49,152,111
24,157,166,136,144,170,163,115,73,102,119
25,150,146,166,166,179,179,142,59,164,123
26,164,165,168,161,158,134,82,167,102,77
27,36,53,176,161,174,150,111,44,146,103
28,175,174,157,157,172,123,90,110,111,166
29,39,32,169,168,163,147,137,63,153,115
30,152,168,174,180,47,18,133,90,160,130
31,27,22,178,178,120,113,69,146,130,111
32,163,163,169,166,170,166,69,136,116,172
33,52,25,173,147,160,167,71,73,158,115
34,32,24,89,128,145,162,112,81,157,120
35,159,165,174,180,166,172,139,83,171,121
36,180,79,164,172,162,178,59,137,115,141
37,178,179,162,159,177,156,79,132,115,132
38,43,14,173,160,47,47,123,70,116,157
39,93,164,171,67,164,166,66,152,124,171
40,2,30,177,152,151,176,92,40,125,88
41,25,22,176,179,166,132,92,55,119,88
42,59,128,87,143,90,88,154,160,162,174
43,6,1,163,167,177,113,93,113,118,166
44,58,175,173,148,170,135,111,89,177,118
45,164,175,173,155,146,141,89,158,114,159
46,170,180,153,154,178,178,141,54,152,113
47,163,166,163,168,160,177,139,81,144,118
48,154,149,167,164,150,160,145,69,156,117
49,176,169,167,157,172,163,68,134,108,159
50,148,168,156,157,89,125,75,129,109,166
51,13,154,174,163,120,172,70,122,169,158
52,175,180,159,155,170,179,69,145,112,168
53,37,50,154,164,91,4,76,71,97,111
54,40,11,151,137,164,163,128,81,175,133
55,151,155,158,151,149,111,69,135,129,171
56,143,148,172,163,153,158,108,170,118,91
57,178,167,167,165,152,170,146,70,171,108
58,174,170,167,172,39,141,177,176,115,113
59,178,175,169,174,127,51,178,180,108,109
60,171,173,171,170,48,131,139,141,94,97
61,176,176,173,171,107,73,179,180,132,135
62,177,179,164,163,26,155,176,175,124,123
63,174,170,171,162,23,158,178,173,115,119
64,175,175,171,173,103,75,175,173,119,121
65,155,148,172,180,59,118,178,173,99,106
66,179,178,166,166,22,159,180,179,113,114
67,152,154,169,175,92,90,169,162,119,128
68,176,172,179,177,10,170,176,176,120,115
69,164,170,166,173,9,173,173,174,119,127
70,171,166,152,161,172,11,178,176,114,109
71,179,179,179,177,104,75,179,178,108,109
72,171,178,173,164,39,141,180,179,114,104
73,148,156,172,177,31,151,175,178,106,108
74,167,168,167,172,74,108,175,176,117,113
75,164,170,166,173,9,173,173,174,119,127
76,148,156,172,177,31,151,175,178,106,108
77,171,166,152,161,172,11,178,176,114,109
78,171,178,173,164,39,141,180,179,114,104
79,167,168,167,172,74,108,175,176,117,113
80,178,173,178,156,72,105,179,176,125,115
81,179,179,179,177,104,75,179,178,108,109
82,179,177,167,169,167,12,178,180,129,132
83,162,162,163,163,67,114,180,179,101,104
84,174,178,173,170,6,174,168,167,131,135
85,176,178,154,154,67,114,180,178,102,104
86,172,168,165,172,36,143,174,177,128,125
87,177,173,160,157,72,108,174,175,123,115
88,180,175,154,158,82,98,174,176,105,105
89,173,174,167,170,22,157,174,175,112,118
90,164,165,169,170,101,79,178,180,103,107
91,177,173,160,157,72,108,174,175,123,115
92,172,168,165,172,36,143,174,177,128,125
93,175,176,176,176,156,24,175,176,150,150
94,137,136,167,165,157,23,179,179,87,92
95,162,157,180,172,76,103,175,176,119,115
96,179,177,174,177,137,42,174,175,105,120
97,177,177,162,160,128,51,180,178,126,125
98,155,156,165,169,160,21,174,176,101,117
99,167,167,168,170,46,134,179,179,138,126
100,155,156,165,169,160,21,174,176,101,117
101,165,170,167,171,26,155,175,174,105,113
102,162,166,147,118,18,160,175,176,122,117
103,176,180,172,179,38,143,177,174,113,116
104,170,167,165,161,53,127,177,174,112,109
105,179,179,161,156,124,60,167,160,100,119
106,169,170,173,175,142,37,179,180,124,133
107,170,170,176,173,59,122,174,179,120,106
108,177,179,165,165,35,146,177,178,104,110
109,178,172,153,153,2,179,169,171,102,100
110,145,147,166,164,48,133,166,169,112,102
111,15,122,97,115,116,61,176,174,109,106
112,177,176,173,167,77,102,174,173,127,125
113,171,176,175,169,1,179,179,179,113,115
114,163,159,162,169,103,74,174,177,122,132
115,165,169,163,164,49,131,179,180,102,102
